DateTime,1RV-O-V,2AX-O-V,2RV-O-V,3RV-O-V,6RV-O-V,7RV-O-V,8RV-O-V
2026-04-20 18:42:00,0.26983,0.04351,0.4275,0.59758,0.38738,0.79232,1.24399
2026-04-20 19:42:00,0.26258,0.0397,0.3987,0.5762,0.37603,0.74944,1.23856
2026-04-20 20:42:00,0.26859,0.04291,0.40433,0.5451,0.37214,0.78383,1.39293
2026-04-20 21:42:00,0.27459,0.04699,0.41147,0.51485,0.36515,0.78572,1.35591
2026-04-20 22:42:00,0.28039,0.04078,0.41292,0.48405,0.35765,0.7804,1.35896
2026-04-20 23:42:00,0.2849,0.04264,0.40089,0.45947,0.35825,0.79194,1.45125
2026-04-21 00:42:00,0.29859,0.04851,0.40995,0.46084,0.3487,0.81894,1.47966
2026-04-21 01:42:00,0.29662,0.04354,0.41694,0.46263,0.33889,0.77625,1.38996
2026-04-21 02:42:00,0.30402,0.04887,0.43775,0.45921,0.37122,0.83638,1.4635
2026-04-21 03:42:00,0.30677,0.05182,0.44012,0.44463,0.35347,0.81556,1.47469
2026-04-21 04:42:00,0.2959,0.04788,0.44302,0.44263,0.35943,0.82405,1.52128
2026-04-21 05:42:00,0.30247,0.04928,0.43096,0.42657,0.32939,0.80383,1.55521
2026-04-21 06:42:00,0.29337,0.05314,0.44119,0.45134,0.34585,0.86819,1.66694
2026-04-21 07:42:00,0.28981,0.05193,0.45445,0.43907,0.32345,0.84313,1.58839
2026-04-21 08:42:00,0.29336,0.04956,0.42103,0.44374,0.32254,0.81229,1.44205
2026-04-21 09:42:00,0.29998,0.04866,0.4187,0.43945,0.31814,0.86601,1.61766
2026-04-21 10:42:00,0.30228,0.05341,0.46457,0.45568,0.34111,0.93353,1.71266
2026-04-21 11:42:00,0.29916,0.04987,0.44536,0.44197,0.31858,0.86567,1.68309
2026-04-21 12:42:00,0.30377,0.05383,0.46711,0.46061,0.34599,0.91859,1.75793
2026-04-21 13:42:00,0.29624,0.04985,0.42768,0.43705,0.31701,0.85202,1.53345
2026-04-21 14:42:00,0.30022,0.04966,0.43838,0.44989,0.33854,0.92676,1.59911
2026-04-21 15:42:00,0.29983,0.05275,0.44692,0.43139,0.3305,0.89762,1.55512
2026-04-21 16:42:00,0.29862,0.05242,0.45306,0.43777,0.33933,0.85661,1.70597
2026-04-21 17:42:00,0.30043,0.04563,0.42295,0.43006,0.32901,0.82488,1.44404
2026-04-21 18:42:00,0.30596,0.0506,0.44336,0.43485,0.31903,0.83714,1.52764
2026-04-21 19:42:00,0.3071,0.05461,0.44742,0.43149,0.31836,0.85528,1.59321
2026-04-21 20:42:00,0.30585,0.04833,0.41653,0.43917,0.3366,0.8683,1.66286
2026-04-21 21:42:00,0.31231,0.04726,0.42706,0.39984,0.30767,0.8306,1.5984
2026-04-21 22:42:00,0.30725,0.04726,0.43471,0.41257,0.31527,0.83943,1.74267
2026-04-21 23:42:00,0.31646,0.05037,0.46125,0.4351,0.32856,0.90399,1.83024
2026-04-22 00:42:00,0.31157,0.04883,0.42777,0.39842,0.29829,0.81804,1.80041
2026-04-22 01:42:00,0.32484,0.05175,0.44449,0.42841,0.31516,0.87138,1.65154
2026-04-22 02:42:00,0.32595,0.05176,0.43464,0.41093,0.31391,0.89398,1.76644
2026-04-22 03:42:00,0.3266,0.05059,0.4273,0.40338,0.30782,0.87089,1.96379
2026-04-22 04:42:00,0.32882,0.0512,0.4399,0.40426,0.30817,0.87821,1.86314
2026-04-22 05:42:00,0.33844,0.05127,0.44449,0.41786,0.30512,0.85481,1.76769
2026-04-22 06:42:00,0.33692,0.0529,0.44588,0.41771,0.31124,0.90841,1.89362
2026-04-22 07:42:00,0.32897,0.04828,0.43086,0.38178,0.29625,0.78725,1.49021
2026-04-22 08:42:00,0.32334,0.05433,0.45166,0.40648,0.30506,0.84831,1.53441
2026-04-22 09:42:00,0.32868,0.05435,0.44643,0.41515,0.31809,0.85453,1.51105
2026-04-22 10:42:00,0.32999,0.05098,0.44076,0.42073,0.31245,0.88362,1.58513
2026-04-22 11:42:00,0.34685,0.04736,0.45289,0.42388,0.31883,0.86711,1.64444
2026-04-22 12:42:00,0.34643,0.04435,0.46108,0.43109,0.3106,0.82333,1.64244
2026-04-22 13:42:00,0.32759,0.04162,0.45452,0.40919,0.31427,0.79737,1.41742
2026-04-22 14:42:00,0.31401,0.04523,0.45357,0.42488,0.32974,0.85992,1.35856
2026-04-22 15:42:00,0.32802,0.04682,0.46207,0.41437,0.33547,0.78099,1.34043
2026-04-22 16:42:00,0.32936,0.04283,0.45446,0.41858,0.33204,0.79437,1.31424
2026-04-22 17:42:00,0.33027,0.04221,0.44345,0.40268,0.3187,0.77929,1.29403
2026-04-22 18:42:00,0.33672,0.04444,0.44757,0.39078,0.32034,0.7593,1.27921
2026-04-22 19:42:00,0.33809,0.04472,0.45357,0.40289,0.30151,0.77621,1.24858
2026-04-22 20:42:00,0.33636,0.04767,0.48695,0.43272,0.34301,0.86221,1.45025
2026-04-22 21:42:00,0.34528,0.04641,0.44665,0.40685,0.31318,0.77138,1.21524
2026-04-22 22:42:00,0.3444,0.04302,0.4552,0.40186,0.31103,0.76753,1.204
2026-04-22 23:42:00,0.35001,0.04398,0.43877,0.40508,0.30237,0.75617,1.20535
2026-04-23 00:42:00,0.34228,0.04761,0.45361,0.41225,0.31199,0.78599,1.28305
2026-04-23 01:42:00,0.34334,0.04466,0.45808,0.40057,0.31053,0.77608,1.25551
2026-04-23 02:42:00,0.34789,0.04862,0.47233,0.42524,0.32969,0.81487,1.34317
2026-04-23 03:42:00,0.35076,0.04382,0.45333,0.39983,0.31231,0.76569,1.22945
2026-04-23 04:42:00,0.34765,0.04543,0.45621,0.39512,0.30172,0.77441,1.2536
2026-04-23 05:42:00,0.35467,0.04767,0.46139,0.41739,0.31772,0.78759,1.26544
2026-04-23 06:42:00,0.3526,0.05095,0.48088,0.41659,0.31726,0.83891,1.3172
2026-04-23 07:42:00,0.34546,0.05024,0.45259,0.40908,0.31263,0.81801,1.31798
2026-04-23 08:42:00,0.35437,0.04738,0.46013,0.42431,0.32023,0.81051,1.25457
2026-04-23 09:05:57,0.00131,0.00152,0.00172,0.00148,0.00148,0.00155,0.00154
2026-04-23 10:42:00,0.32564,0.04792,0.47315,0.40012,0.30875,0.74442,1.12655
2026-04-23 11:42:00,0.3212,0.82194,0.39491,1.00633,1.40965,0.93912,1.09834
2026-04-23 12:42:00,0.00238,0.00193,0.00222,0.00219,0.0025,0.00467,0.00437
2026-04-23 13:42:00,0.33784,0.73481,0.36305,0.96024,1.3222,1.10748,1.24552
2026-04-23 14:42:00,0.31286,0.6413,0.35358,0.98636,1.36572,1.1143,1.24159
2026-04-23 15:42:00,0.31428,0.59773,0.34321,0.99052,1.36594,1.17576,1.30156
2026-04-23 16:42:00,0.30634,0.53887,0.31719,1.00778,1.35001,0.98851,1.10609
2026-04-23 17:42:00,0.31027,0.71106,0.36913,0.9987,1.37492,1.10146,1.19014
2026-04-23 18:42:00,0.31089,0.566,0.33112,0.97229,1.31755,1.08513,1.17072
2026-04-23 19:42:00,0.30404,0.62019,0.344,0.99007,1.33261,1.11555,1.22312
2026-04-23 20:42:00,0.30573,0.60951,0.36095,0.99925,1.32139,1.14255,1.23532
2026-04-23 21:42:00,0.31013,0.69241,0.38987,0.98654,1.32351,1.11917,1.22137
2026-04-23 22:42:00,0.3105,0.60434,0.35184,1.00333,1.34761,1.12427,1.20856
2026-04-23 23:42:00,0.31368,0.62643,0.35961,1.00268,1.3281,1.08454,1.16538
2026-04-24 00:42:00,0.31981,0.67336,0.37769,0.97826,1.35978,1.16748,1.25302
2026-04-24 01:42:00,0.32045,0.65895,0.37727,0.98614,1.34415,1.17503,1.26572
2026-04-24 02:42:00,0.32326,0.62005,0.37603,0.97743,1.33641,1.14639,1.20192
2026-04-24 03:42:00,0.31832,0.64947,0.39176,0.97936,1.36021,1.19851,1.27441
2026-04-24 04:42:00,0.32274,0.66374,0.40065,0.98478,1.30611,1.12492,1.19902
2026-04-24 05:42:00,0.31993,0.68716,0.41388,0.98439,1.35926,1.15182,1.23587
2026-04-24 06:42:00,0.31386,0.63469,0.39881,0.98899,1.34581,1.14165,1.23147
2026-04-24 07:42:00,0.31248,0.67404,0.42202,0.97978,1.30224,1.22029,1.33695
2026-04-24 08:42:00,0.32209,0.62779,0.40378,0.96423,1.30865,1.22059,1.31703
2026-04-24 09:42:00,0.31354,0.62652,0.3867,0.97281,1.28828,1.10368,1.14577
2026-04-24 10:42:00,0.31081,0.64078,0.40568,0.98624,1.33062,1.15022,1.23798
2026-04-24 11:42:00,0.29741,0.69113,0.39831,0.99742,1.35311,1.15068,1.20113
2026-04-24 12:42:00,0.30591,0.68322,0.38372,0.98054,1.3474,1.09755,1.13795
2026-04-24 13:42:00,0.30173,0.69228,0.36718,0.99808,1.35207,1.16994,1.22074
2026-04-24 14:42:00,0.29806,0.66729,0.38041,1.00176,1.39348,1.08754,1.14705
2026-04-24 15:42:00,0.30599,0.73622,0.3944,0.99783,1.3725,1.16062,1.20322
2026-04-24 16:42:00,0.30275,0.70891,0.39508,0.98809,1.36743,1.1711,1.21345
2026-04-24 17:42:00,0.30646,0.70557,0.38208,0.99873,1.38176,1.25389,1.31065
2026-04-24 18:42:00,0.30746,0.7472,0.40845,0.98962,1.32423,1.06578,1.11708
2026-04-24 19:42:00,0.30365,0.70872,0.37962,0.98619,1.33283,1.11301,1.15301
2026-04-24 20:42:00,0.31432,0.80675,0.48875,0.98595,1.33002,1.15444,1.20939
2026-04-24 21:42:00,0.30963,0.81814,0.48779,0.96627,1.34507,1.19102,1.24821
2026-04-24 22:42:00,0.31276,0.83212,0.51871,0.97904,1.32931,1.08949,1.15668
2026-04-24 23:42:00,0.3203,0.88107,0.48239,0.9959,1.33538,1.12299,1.17994
2026-04-25 00:42:00,0.31646,0.76497,0.4538,0.99521,1.36406,1.15006,1.21692
2026-04-25 01:42:00,0.31033,0.71185,0.44463,0.99225,1.35035,1.14905,1.21127
2026-04-25 02:42:00,0.31635,0.76572,0.4614,0.99204,1.31455,1.15066,1.21233
2026-04-25 03:42:00,0.33078,0.75459,0.48602,0.9846,1.35869,1.18159,1.23371
2026-04-25 04:42:00,0.32746,0.8278,0.5504,0.96683,1.3242,1.22193,1.28373
2026-04-25 05:42:00,0.33058,0.75613,0.50432,0.96336,1.34894,1.17094,1.23866
2026-04-25 06:42:00,0.33293,0.78309,0.51716,0.98444,1.33276,1.14891,1.17905
2026-04-25 07:42:00,0.33694,0.83128,0.51677,0.97321,1.30603,1.12765,1.16228
2026-04-25 08:42:00,0.33504,0.75442,0.43699,0.98463,1.30574,1.20946,1.24997
2026-04-25 09:42:00,0.32708,0.8137,0.4696,0.95892,1.29049,1.23755,1.29851
2026-04-25 10:42:00,0.31528,0.82602,0.48917,1.01105,1.38584,1.13916,1.18705
2026-04-25 11:42:00,0.29964,0.74465,0.4494,0.99815,1.36669,1.16216,1.20643
2026-04-25 12:42:00,0.29866,0.76787,0.45501,0.99758,1.33986,1.13281,1.18042
2026-04-25 13:42:00,0.30175,0.76189,0.44833,1.00528,1.33778,1.21347,1.26161
2026-04-25 14:42:00,0.3066,0.7614,0.41527,1.00336,1.36993,1.08159,1.13577
2026-04-25 15:42:00,0.3027,0.73829,0.40703,1.0045,1.33237,1.22149,1.26521
2026-04-25 16:42:00,0.3153,0.7656,0.43171,1.01052,1.3486,1.31894,1.33851
2026-04-25 17:42:00,0.32321,0.75136,0.43728,1.00065,1.36184,1.27951,1.3318
2026-04-25 18:42:00,0.32058,0.81011,0.4391,0.99433,1.36682,1.24927,1.29082
2026-04-25 19:42:00,0.3226,0.78582,0.4396,0.97799,1.32237,1.21849,1.26313
2026-04-25 20:42:00,0.31992,0.76268,0.4214,0.99461,1.3353,1.15883,1.21017
2026-04-25 21:42:00,0.31953,0.77579,0.4362,0.99438,1.36774,1.22299,1.26304
2026-04-25 22:42:00,0.32207,0.90631,0.49553,0.97651,1.35775,1.16144,1.19108
2026-04-25 23:42:00,0.31941,0.78846,0.47651,0.97504,1.37231,1.22645,1.27934
2026-04-26 00:42:00,0.32377,0.86259,0.49193,0.98863,1.36904,1.26341,1.28025
2026-04-26 01:42:00,0.33208,0.78711,0.46116,0.98739,1.33591,1.18249,1.22767
2026-04-26 02:42:00,0.33042,0.84343,0.46646,0.98157,1.35482,1.17963,1.17939
2026-04-26 03:42:00,0.33146,0.77799,0.46408,0.96871,1.32559,1.21507,1.23952
2026-04-26 04:42:00,0.32528,0.81547,0.46944,0.98762,1.3244,1.17024,1.20836
2026-04-26 05:42:00,0.32431,0.92811,0.51991,0.99728,1.34898,1.12402,1.14376
2026-04-26 06:42:00,0.33353,0.91615,0.47621,0.97463,1.32205,1.22818,1.24976
2026-04-26 07:42:00,0.32093,0.83724,0.4399,0.99169,1.31814,1.10339,1.12477
2026-04-26 08:42:00,0.32267,0.83839,0.44723,0.98536,1.35569,1.25443,1.2914
2026-04-26 09:42:00,0.32135,0.86023,0.45652,0.99458,1.36763,1.20464,1.24356
2026-04-26 10:42:00,0.31512,0.76301,0.43,1.00327,1.35988,1.11987,1.1493
2026-04-26 11:42:00,0.30475,0.7376,0.436,0.99323,1.35575,1.17903,1.20569
2026-04-26 12:42:00,0.30186,0.80794,0.41368,0.99765,1.37045,1.14569,1.17506
2026-04-26 13:42:00,0.30698,0.81843,0.41118,0.99854,1.31366,1.05105,1.09489
2026-04-26 14:42:00,0.30491,0.74317,0.38453,1.00795,1.37441,1.11413,1.1545
2026-04-26 15:42:00,0.3122,0.7449,0.38654,0.9898,1.32716,1.0995,1.12744
2026-04-26 16:42:00,0.32587,0.76746,0.40329,0.99646,1.36025,1.19519,1.23829
2026-04-26 17:42:00,0.31804,0.75074,0.40187,0.99023,1.34121,1.10246,1.13269
2026-04-26 18:42:00,0.31978,0.83264,0.42375,0.99748,1.33913,1.14215,1.17854
2026-04-26 19:42:00,0.32909,0.90049,0.48098,0.97703,1.33379,1.10468,1.11055
2026-04-26 20:42:00,0.31039,0.96407,0.51286,0.99095,1.33686,1.13907,1.16179
2026-04-26 21:42:00,0.33143,0.97311,0.52166,0.97772,1.32459,1.15245,1.16852
2026-04-26 22:42:00,0.32944,0.99695,0.58315,0.98177,1.32862,1.17476,1.21104
2026-04-26 23:42:00,0.32423,0.90658,0.49787,0.98792,1.36696,1.2812,1.32249
2026-04-27 00:42:00,0.32573,0.95596,0.50697,0.9947,1.32622,1.08127,1.10611
2026-04-27 01:42:00,0.33218,0.99754,0.54245,0.99083,1.33434,1.19965,1.25223
2026-04-27 02:42:00,0.327,0.83367,0.50436,0.99324,1.31479,1.16748,1.1992
2026-04-27 03:42:00,0.33464,0.86706,0.50765,0.98561,1.3106,1.2048,1.24666
2026-04-27 04:42:00,0.34006,0.91062,0.55996,0.98907,1.3121,1.19303,1.21853
2026-04-27 05:42:00,0.3372,0.90061,0.51147,0.9838,1.34237,1.29949,1.33027
2026-04-27 06:42:00,0.32868,0.98154,0.52766,0.97494,1.3119,1.13689,1.15729
2026-04-27 07:42:00,0.31638,0.88957,0.49234,0.97133,1.33493,1.16816,1.18793
2026-04-27 08:42:00,0.32032,0.91827,0.48682,0.97949,1.32843,1.13871,1.15683
2026-04-27 09:42:00,0.32306,0.90968,0.50094,0.99675,1.30643,1.05095,1.0887
2026-04-27 10:42:00,0.32703,0.92996,0.48004,0.98822,1.319,1.0796,1.10801
2026-04-27 11:42:00,0.32739,0.88678,0.51132,0.98996,1.36679,1.13208,1.17834
2026-04-28 11:32:31,0.32903,0.96874,0.51288,0.99876,1.35351,1.20445,1.2655
2026-04-28 12:42:00,0.32426,0.97355,0.50514,0.99477,1.3097,1.18121,1.21527
2026-04-28 13:42:00,0.32333,0.96445,0.50291,0.98133,1.35506,1.30575,1.36075
2026-04-28 14:42:00,0.3386,1.00682,0.54669,0.99309,1.35171,1.31604,1.38063
2026-04-28 15:42:00,0.35078,1.03468,0.57495,0.99514,1.32031,1.18607,1.21572
2026-04-28 16:42:00,0.34581,1.05003,0.58747,1.01577,1.33353,1.26533,1.31642
2026-04-28 17:42:00,0.34716,0.97014,0.55293,1.01603,1.35421,1.22821,1.28749
2026-04-28 18:42:00,0.35044,1.03164,0.5842,1.00539,1.30387,1.18216,1.20357
2026-04-28 19:42:00,0.34856,1.0265,0.61598,0.97021,1.28841,1.29391,1.32827
2026-04-28 20:42:00,0.35554,1.0902,0.60727,0.98822,1.31578,1.30361,1.34803
2026-04-28 21:42:00,0.35535,1.0774,0.59593,0.9967,1.32899,1.2157,1.26167
2026-04-28 22:42:00,0.34196,1.0235,0.61114,0.97653,1.31248,1.21883,1.22715
2026-04-28 23:42:00,0.3398,1.08337,0.60242,0.9798,1.29093,1.27523,1.31184
2026-04-29 00:42:00,0.34175,1.00858,0.57885,0.9985,1.3239,1.24592,1.30329
2026-04-29 01:42:00,0.3397,1.03796,0.5507,0.99445,1.32414,1.37606,1.45642
2026-04-29 02:42:00,0.35196,1.03906,0.63022,0.98045,1.32821,1.41815,1.47244
2026-04-29 03:42:00,0.35427,1.00959,0.64334,0.98847,1.32895,1.3346,1.39949
2026-04-29 04:42:00,0.36368,1.07835,0.66381,0.98659,1.2926,1.37211,1.45099
2026-04-29 05:42:00,0.35066,1.03556,0.66238,0.98263,1.32399,1.17005,1.20906
2026-04-29 06:42:00,0.34736,0.97795,0.60701,0.99784,1.30818,1.18257,1.20609
2026-04-29 07:42:00,0.34187,1.02519,0.62376,1.01277,1.30347,1.1459,1.17822
2026-04-29 08:42:00,0.34387,1.01503,0.6493,0.97973,1.30772,1.11895,1.15044
2026-04-29 09:42:00,0.35227,1.01031,0.59916,0.9718,1.29946,1.12936,1.13909
2026-04-29 10:42:00,0.35008,0.93964,0.56055,0.98894,1.29572,1.19288,1.23809
2026-04-29 11:42:00,0.33849,0.91156,0.54424,0.98824,1.32727,1.15347,1.17431
2026-04-29 12:42:00,0.33273,0.84568,0.49223,1.00315,1.33498,1.17507,1.20347
2026-04-29 13:42:00,0.33596,0.92711,0.54694,0.98854,1.3395,1.14544,1.17533
2026-04-29 14:42:00,0.34974,0.93588,0.55787,1.00085,1.32839,1.06655,1.08165
2026-04-29 15:42:00,0.33606,0.94592,0.50529,0.98731,1.30553,1.19242,1.20787
2026-04-29 16:42:00,0.34393,0.9608,0.54714,0.99832,1.321,1.30922,1.31231
2026-04-29 17:42:00,0.34774,1.06892,0.62266,0.9949,1.32674,1.16049,1.19572
2026-04-29 18:42:00,0.33762,1.11977,0.61199,0.9963,1.33073,1.14854,1.15924
2026-04-29 19:42:00,0.33612,1.11876,0.64873,0.98945,1.31512,1.12416,1.1374
2026-04-29 20:42:00,0.336,1.05477,0.60048,0.9741,1.30307,1.13115,1.16424
2026-04-29 21:42:00,0.34235,1.15983,0.64414,0.97871,1.29083,1.11257,1.14626
2026-04-29 22:42:00,0.34437,1.04651,0.60279,0.99775,1.32286,1.10572,1.13108
2026-04-29 23:42:00,0.35771,1.01974,0.65875,0.97974,1.32515,1.09525,1.11903
2026-04-30 00:42:00,0.35951,1.02809,0.59142,0.98499,1.3363,1.10217,1.10737
2026-04-30 01:42:00,0.35697,0.96243,0.60954,0.98796,1.30323,1.22169,1.22958
2026-04-30 02:42:00,0.33923,0.97245,0.54722,0.9963,1.3084,1.10879,1.13326
2026-04-30 03:42:00,0.34359,0.91729,0.53278,0.96785,1.29342,1.26378,1.29697
2026-04-30 04:42:00,0.35044,0.95403,0.55529,0.9797,1.30064,1.15928,1.18249
2026-04-30 05:42:00,0.34717,0.95856,0.51927,0.99449,1.29983,1.12564,1.13632
2026-04-30 06:42:00,0.35009,0.9854,0.55677,0.97139,1.28188,1.1712,1.16648
2026-04-30 07:42:00,0.3447,1.10161,0.64249,0.97035,1.32502,1.30516,1.30198
2026-04-30 08:42:00,0.3513,1.01107,0.60999,0.98955,1.2847,1.16664,1.17978
2026-04-30 09:42:00,0.34321,0.92033,0.57281,0.99561,1.3043,1.18026,1.19504
2026-04-30 10:42:00,0.33445,0.8781,0.49836,0.98825,1.32309,1.17246,1.18067
2026-04-30 11:42:00,0.33562,0.94691,0.53417,1.0104,1.35037,1.12131,1.13814
2026-04-30 12:42:00,0.31754,0.94349,0.47057,0.9959,1.33103,1.13824,1.16288
2026-04-30 13:42:00,0.33211,0.95882,0.49687,1.00191,1.31993,1.12529,1.1593
2026-04-30 14:42:00,0.33655,1.02138,0.52255,1.00085,1.33557,1.16952,1.18293
2026-04-30 15:42:00,0.33885,0.99498,0.52137,1.02106,1.31112,1.11754,1.13155
2026-04-30 16:42:00,0.33453,1.01426,0.53638,1.01216,1.35304,1.14517,1.13992
2026-04-30 17:42:00,0.34403,1.06401,0.58517,0.99005,1.32738,1.14279,1.19668
2026-04-30 18:42:00,0.3507,1.10562,0.62786,1.001,1.31935,1.20256,1.2072
